Make,Model1,Model2,Vehicle Class,Transmission1,Transmission2,Fuel Type,Engine Size(L),Cylinders,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Cluster,Make_Name,Cluster_Rank
0,246,11,0,2,3,4,2.0,4,9.9,6.7,8.5,33,196,2,ACURA,2
0,246,11,0,4,4,4,2.4,4,11.2,7.7,9.6,29,221,2,ACURA,2
0,246,11,0,3,5,4,1.5,4,6.0,5.8,5.9,48,136,2,ACURA,2
0,299,6,11,2,4,4,3.5,6,12.7,9.1,11.1,25,255,2,ACURA,2
0,386,0,11,2,4,4,3.5,6,12.1,8.7,10.6,27,244,2,ACURA,2
0,391,11,2,2,4,4,3.5,6,11.9,7.7,10.0,28,230,2,ACURA,2
0,463,11,2,2,4,4,3.5,6,11.8,8.1,10.1,28,232,2,ACURA,2
0,463,0,2,2,4,4,3.7,6,12.8,9.0,11.1,25,255,2,ACURA,2
0,463,0,2,4,4,4,3.7,6,13.4,9.5,11.6,24,267,2,ACURA,2
0,471,11,0,2,3,4,2.4,4,10.6,7.5,9.2,31,212,2,ACURA,2
0,471,11,0,4,4,4,2.4,4,11.2,8.1,9.8,29,225,2,ACURA,2
0,471,11,0,2,3,4,3.5,6,12.1,8.3,10.4,27,239,2,ACURA,2
1,17,11,13,1,4,4,1.8,4,9.7,6.9,8.4,34,193,2,ALFA ROMEO,2
2,149,11,3,0,4,4,5.9,12,18.0,12.6,15.6,18,359,4,ASTON MARTIN,4
2,383,11,10,0,4,4,5.9,12,18.0,12.6,15.6,18,359,4,ASTON MARTIN,4
2,492,11,13,1,5,4,4.7,8,17.4,11.3,14.7,19,338,4,ASTON MARTIN,4
2,492,11,13,4,4,4,4.7,8,18.1,12.2,15.4,18,354,4,ASTON MARTIN,4
2,492,11,13,1,5,4,4.7,8,17.4,11.3,14.7,19,338,4,ASTON MARTIN,4
2,492,11,13,4,4,4,4.7,8,18.1,12.2,15.4,18,354,4,ASTON MARTIN,4
2,494,11,3,0,4,4,5.9,12,18.0,12.6,15.6,18,359,4,ASTON MARTIN,4
3,40,11,0,3,6,4,2.0,4,9.9,7.4,8.8,32,202,2,AUDI,2
3,40,11,0,2,6,4,2.0,4,11.5,8.1,10.0,28,230,2,AUDI,2
3,40,11,0,4,4,4,2.0,4,10.8,7.5,9.3,30,214,2,AUDI,2
3,41,11,10,2,6,4,2.0,4,11.5,8.1,10.0,28,230,2,AUDI,2
3,41,11,10,2,6,4,2.0,4,11.5,8.1,10.0,28,230,2,AUDI,2
3,41,11,10,4,4,4,2.0,4,10.8,7.5,9.3,30,214,2,AUDI,2
3,42,11,2,2,6,4,2.0,4,12.0,8.1,10.2,28,235,2,AUDI,2
3,42,11,2,2,6,4,3.0,6,12.8,8.6,10.9,26,251,2,AUDI,2
3,42,11,2,2,6,0,3.0,6,9.8,6.2,8.1,35,217,2,AUDI,2
3,43,11,2,2,6,4,3.0,6,13.3,8.5,11.2,25,262,2,AUDI,2
3,43,11,2,2,6,0,3.0,6,9.8,6.2,8.1,35,217,2,AUDI,2
3,44,11,2,2,6,4,3.0,6,13.1,8.8,11.2,25,258,2,AUDI,2
3,44,11,2,2,6,4,4.0,8,13.7,8.3,11.3,25,265,2,AUDI,2
3,44,11,2,2,6,0,3.0,6,9.8,6.5,8.4,34,224,2,AUDI,2
3,45,11,1,2,6,4,3.0,6,13.1,8.8,11.2,25,258,2,AUDI,2
3,45,11,1,2,6,4,4.0,8,14.7,9.7,12.5,23,288,2,AUDI,2
3,45,11,1,2,6,4,6.3,12,18.7,11.5,15.5,18,363,2,AUDI,2
3,45,11,1,2,6,0,3.0,6,9.8,6.5,8.4,34,224,2,AUDI,2
3,50,11,9,2,6,4,2.0,4,11.8,8.8,10.5,27,242,2,AUDI,2
3,363,11,11,2,6,4,2.0,4,12.0,8.5,10.4,27,239,2,AUDI,2
3,363,11,11,2,6,4,3.0,6,12.9,9.2,11.2,25,258,2,AUDI,2
3,363,11,11,2,6,0,3.0,6,10.2,7.8,9.0,31,244,2,AUDI,2
3,363,11,11,2,6,4,2.0,4,9.9,8.3,9.2,31,212,2,AUDI,2
3,368,11,12,2,6,4,3.0,6,15.1,10.9,13.2,21,304,2,AUDI,2
3,368,11,12,2,6,0,3.0,6,12.4,8.7,10.7,26,290,2,AUDI,2
3,381,11,13,0,5,4,4.2,8,17.6,11.0,14.6,19,336,2,AUDI,2
3,381,11,13,4,4,4,4.2,8,21.2,13.4,17.7,16,407,2,AUDI,2
3,381,11,13,0,5,4,5.2,10,18.2,10.6,14.8,19,347,2,AUDI,2
3,381,11,13,4,4,4,5.2,10,21.1,13.8,17.8,16,409,2,AUDI,2
3,381,11,13,0,5,4,4.2,8,17.6,11.0,14.6,19,336,2,AUDI,2
3,381,11,13,4,4,4,4.2,8,21.2,13.4,17.7,16,407,2,AUDI,2
