Make,Vehicle Class,Engine Size(L),Cylinders,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions(g/km),Model1,Model2,Transmission1,Transmission2
ACURA,COMPACT,2.0,4,Z,9.9,6.7,8.5,33,196,ILX,Undefined,AS,5
ACURA,COMPACT,2.4,4,Z,11.2,7.7,9.6,29,221,ILX,Undefined,M,6
ACURA,COMPACT,1.5,4,Z,6.0,5.8,5.9,48,136,ILX,Undefined,AV,7
ACURA,SUV - SMALL,3.5,6,Z,12.7,9.1,11.1,25,255,MDX,Four-wheel drive,AS,6
ACURA,SUV - SMALL,3.5,6,Z,12.1,8.7,10.6,27,244,RDX,All-wheel drive,AS,6
ACURA,MID-SIZE,3.5,6,Z,11.9,7.7,10.0,28,230,RLX,Undefined,AS,6
ACURA,MID-SIZE,3.5,6,Z,11.8,8.1,10.1,28,232,TL,Undefined,AS,6
ACURA,MID-SIZE,3.7,6,Z,12.8,9.0,11.1,25,255,TL,All-wheel drive,AS,6
ACURA,MID-SIZE,3.7,6,Z,13.4,9.5,11.6,24,267,TL,All-wheel drive,M,6
ACURA,COMPACT,2.4,4,Z,10.6,7.5,9.2,31,212,TSX,Undefined,AS,5
ACURA,COMPACT,2.4,4,Z,11.2,8.1,9.8,29,225,TSX,Undefined,M,6
ACURA,COMPACT,3.5,6,Z,12.1,8.3,10.4,27,239,TSX,Undefined,AS,5
ALFA ROMEO,TWO-SEATER,1.8,4,Z,9.7,6.9,8.4,34,193,4C,Undefined,AM,6
ASTON MARTIN,MINICOMPACT,5.9,12,Z,18.0,12.6,15.6,18,359,DB9,Undefined,A,6
ASTON MARTIN,SUBCOMPACT,5.9,12,Z,18.0,12.6,15.6,18,359,RAPIDE,Undefined,A,6
ASTON MARTIN,TWO-SEATER,4.7,8,Z,17.4,11.3,14.7,19,338,V8,Undefined,AM,7
ASTON MARTIN,TWO-SEATER,4.7,8,Z,18.1,12.2,15.4,18,354,V8,Undefined,M,6
ASTON MARTIN,TWO-SEATER,4.7,8,Z,17.4,11.3,14.7,19,338,V8,Undefined,AM,7
ASTON MARTIN,TWO-SEATER,4.7,8,Z,18.1,12.2,15.4,18,354,V8,Undefined,M,6
ASTON MARTIN,MINICOMPACT,5.9,12,Z,18.0,12.6,15.6,18,359,VANQUISH,Undefined,A,6
AUDI,COMPACT,2.0,4,Z,9.9,7.4,8.8,32,202,A4,Undefined,AV,8
AUDI,COMPACT,2.0,4,Z,11.5,8.1,10.0,28,230,A4,Undefined,AS,8
AUDI,COMPACT,2.0,4,Z,10.8,7.5,9.3,30,214,A4,Undefined,M,6
AUDI,SUBCOMPACT,2.0,4,Z,11.5,8.1,10.0,28,230,A5,Undefined,AS,8
AUDI,SUBCOMPACT,2.0,4,Z,11.5,8.1,10.0,28,230,A5,Undefined,AS,8
AUDI,SUBCOMPACT,2.0,4,Z,10.8,7.5,9.3,30,214,A5,Undefined,M,6
AUDI,MID-SIZE,2.0,4,Z,12.0,8.1,10.2,28,235,A6,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,Z,12.8,8.6,10.9,26,251,A6,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,D,9.8,6.2,8.1,35,217,A6,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,Z,13.3,8.5,11.2,25,262,A7,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,D,9.8,6.2,8.1,35,217,A7,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,Z,13.1,8.8,11.2,25,258,A8,Undefined,AS,8
AUDI,MID-SIZE,4.0,8,Z,13.7,8.3,11.3,25,265,A8,Undefined,AS,8
AUDI,MID-SIZE,3.0,6,D,9.8,6.5,8.4,34,224,A8,Undefined,AS,8
AUDI,FULL-SIZE,3.0,6,Z,13.1,8.8,11.2,25,258,A8L,Undefined,AS,8
AUDI,FULL-SIZE,4.0,8,Z,14.7,9.7,12.5,23,288,A8L,Undefined,AS,8
AUDI,FULL-SIZE,6.3,12,Z,18.7,11.5,15.5,18,363,A8L,Undefined,AS,8
AUDI,FULL-SIZE,3.0,6,D,9.8,6.5,8.4,34,224,A8L,Undefined,AS,8
AUDI,STATION WAGON - SMALL,2.0,4,Z,11.8,8.8,10.5,27,242,ALLROAD,Undefined,AS,8
AUDI,SUV - SMALL,2.0,4,Z,12.0,8.5,10.4,27,239,Q5,Undefined,AS,8
AUDI,SUV - SMALL,3.0,6,Z,12.9,9.2,11.2,25,258,Q5,Undefined,AS,8
AUDI,SUV - SMALL,3.0,6,D,10.2,7.8,9.0,31,244,Q5,Undefined,AS,8
AUDI,SUV - SMALL,2.0,4,Z,9.9,8.3,9.2,31,212,Q5,Undefined,AS,8
AUDI,SUV - STANDARD,3.0,6,Z,15.1,10.9,13.2,21,304,Q7,Undefined,AS,8
AUDI,SUV - STANDARD,3.0,6,D,12.4,8.7,10.7,26,290,Q7,Undefined,AS,8
AUDI,TWO-SEATER,4.2,8,Z,17.6,11.0,14.6,19,336,R8,Undefined,A,7
AUDI,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407,R8,Undefined,M,6
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347,R8,Undefined,A,7
AUDI,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409,R8,Undefined,M,6
AUDI,TWO-SEATER,4.2,8,Z,17.6,11.0,14.6,19,336,R8,Undefined,A,7
AUDI,TWO-SEATER,4.2,8,Z,21.2,13.4,17.7,16,407,R8,Undefined,M,6
AUDI,TWO-SEATER,5.2,10,Z,18.2,10.6,14.8,19,347,R8,Undefined,A,7
AUDI,TWO-SEATER,5.2,10,Z,21.1,13.8,17.8,16,409,R8,Undefined,M,6
AUDI,SUBCOMPACT,4.2,8,Z,15.3,10.9,13.3,21,306,RS,Undefined,A,7
AUDI,SUBCOMPACT,4.2,8,Z,15.2,11.3,13.4,21,308,RS,Undefined,A,7
AUDI,MID-SIZE,4.0,8,Z,15.5,8.8,12.5,23,293,RS,Undefined,AS,8
AUDI,COMPACT,3.0,6,Z,13.2,9.2,11.4,25,262,S4,Undefined,A,7
AUDI,COMPACT,3.0,6,Z,14.6,9.8,12.4,23,285,S4,Undefined,M,6
AUDI,SUBCOMPACT,3.0,6,Z,13.2,9.2,11.4,25,262,S5,Undefined,A,7
AUDI,SUBCOMPACT,3.0,6,Z,14.6,9.8,12.4,23,285,S5,Undefined,M,6
AUDI,SUBCOMPACT,3.0,6,Z,13.3,9.5,11.6,24,267,S5,Undefined,A,7
AUDI,MID-SIZE,4.0,8,Z,14.2,9.7,12.2,23,281,S6,Undefined,A,7
AUDI,MID-SIZE,4.0,8,Z,14.2,9.7,12.2,23,281,S7,Undefined,A,7
AUDI,MID-SIZE,4.0,8,Z,15.8,9.2,12.8,22,300,S8,Undefined,AS,8
AUDI,SUV - SMALL,3.0,6,Z,14.9,10.1,12.7,22,292,SQ5,Undefined,AS,8
AUDI,SUBCOMPACT,2.0,4,Z,10.4,7.6,9.1,31,209,TT,Undefined,A,6
AUDI,TWO-SEATER,2.0,4,Z,10.4,7.6,9.1,31,209,TT,Undefined,A,6
AUDI,SUBCOMPACT,2.0,4,Z,11.5,8.8,10.3,27,237,TTS,Undefined,A,6
AUDI,TWO-SEATER,2.0,4,Z,11.5,8.8,10.3,27,237,TTS,Undefined,A,6
BENTLEY,SUBCOMPACT,4.0,8,Z,16.3,9.8,13.4,21,314,CONTINENTAL,Undefined,AS,8
BENTLEY,SUBCOMPACT,6.0,12,Z,18.8,11.5,15.5,18,356,CONTINENTAL,Undefined,AS,8
BENTLEY,SUBCOMPACT,4.0,8,Z,17.4,10.2,14.2,20,332,CONTINENTAL,Undefined,AS,8
BENTLEY,SUBCOMPACT,6.0,12,Z,20.0,12.2,16.5,17,380,CONTINENTAL,Undefined,AS,8
BENTLEY,SUBCOMPACT,6.0,12,Z,20.0,12.2,16.5,17,380,CONTINENTAL,Undefined,AS,8
BENTLEY,MID-SIZE,6.0,12,Z,20.3,11.9,16.5,17,388,FLYING,Undefined,AS,8
BENTLEY,MID-SIZE,6.8,8,Z,22.3,14.9,19.0,15,437,MULSANNE,Undefined,AS,8
BMW,COMPACT,2.0,4,Z,10.0,6.5,8.4,34,193,320i,Undefined,A,8
BMW,COMPACT,2.0,4,Z,10.4,6.7,8.7,32,200,320i,Undefined,M,6
BMW,COMPACT,2.0,4,Z,10.2,7.0,8.8,32,202,320i,Undefined,A,8
BMW,COMPACT,2.0,4,D,7.6,5.5,6.7,42,181,328d,Undefined,A,8
BMW,STATION WAGON - SMALL,2.0,4,D,7.6,5.5,6.7,42,181,328d,Undefined,A,8
BMW,COMPACT,2.0,4,Z,10.0,6.5,8.4,34,193,328i,Undefined,A,8
BMW,COMPACT,2.0,4,Z,10.4,6.7,8.7,32,200,328i,Undefined,M,6
BMW,COMPACT,2.0,4,Z,10.6,7.2,9.1,31,209,328i,Undefined,A,8
BMW,FULL-SIZE,2.0,4,Z,10.6,7.2,9.1,31,209,328i,Undefined,A,8
BMW,STATION WAGON - SMALL,2.0,4,Z,10.6,7.2,9.1,31,209,328i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.4,7.3,9.6,29,221,335i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.8,7.9,10.0,28,230,335i,Undefined,M,6
BMW,COMPACT,3.0,6,Z,11.7,7.8,9.9,29,228,335i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.9,8.3,10.3,27,237,335i,Undefined,M,6
BMW,FULL-SIZE,3.0,6,Z,11.9,8.0,10.1,28,232,335i,Undefined,A,8
BMW,COMPACT,2.0,4,Z,10.0,6.5,8.4,34,193,428i,Undefined,A,8
BMW,COMPACT,2.0,4,Z,10.4,6.7,8.7,32,200,428i,Undefined,M,6
BMW,COMPACT,2.0,4,Z,10.6,7.2,9.1,31,209,428i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.4,7.3,9.6,29,221,435i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.8,7.9,10.0,28,230,435i,Undefined,M,6
BMW,COMPACT,3.0,6,Z,11.7,7.8,9.9,29,228,435i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.9,8.3,10.3,27,237,435i,Undefined,M,6
BMW,MID-SIZE,2.0,4,Z,10.2,7.0,8.8,32,202,528i,Undefined,A,8
BMW,MID-SIZE,2.0,4,Z,10.6,7.2,9.1,31,209,528i,Undefined,A,8
BMW,MID-SIZE,3.0,6,D,9.2,6.4,7.9,36,213,535d,Undefined,A,8
BMW,MID-SIZE,3.0,6,Z,11.9,8.0,10.1,28,232,535i,Undefined,A,8
BMW,FULL-SIZE,3.0,6,Z,12.5,8.6,10.7,26,246,535i,Undefined,A,8
BMW,MID-SIZE,4.4,8,Z,14.4,9.6,12.2,23,281,550i,Undefined,A,8
BMW,FULL-SIZE,4.4,8,Z,15.0,9.8,12.7,22,292,550i,Undefined,A,8
BMW,COMPACT,3.0,6,Z,11.9,8.0,10.1,28,232,640i,Undefined,A,8
BMW,SUBCOMPACT,4.4,8,Z,15.0,9.8,12.7,22,292,650i,Undefined,A,8
BMW,COMPACT,4.4,8,Z,14.4,9.6,12.2,23,281,650i,Undefined,A,8
BMW,COMPACT,4.4,8,Z,15.0,9.8,12.7,22,292,650i,Undefined,A,8
BMW,FULL-SIZE,3.0,6,Z,12.5,8.6,10.7,26,246,740Li,Undefined,A,8
BMW,FULL-SIZE,4.4,8,Z,15.0,9.8,12.7,22,292,750i,Undefined,A,8
BMW,FULL-SIZE,4.4,8,Z,15.0,9.8,12.7,22,292,750Li,Undefined,A,8
BMW,FULL-SIZE,6.0,12,Z,18.7,11.5,15.5,18,356,760Li,Undefined,A,8
BMW,COMPACT,3.0,6,Z,9.2,7.1,8.3,34,191,ACTIVEHYBRID,Undefined,A,8
BMW,MID-SIZE,3.0,6,Z,10.5,7.9,9.3,30,214,ACTIVEHYBRID,Undefined,A,8
BMW,FULL-SIZE,3.0,6,Z,10.5,7.6,9.2,31,212,ACTIVEHYBRID,Undefined,A,8
BMW,FULL-SIZE,4.4,8,Z,15.0,9.8,12.7,22,292,ALPINA,Long wheelbase,A,8
BMW,FULL-SIZE,4.4,8,Z,15.0,9.8,12.7,22,292,ALPINA,Short wheelbase,A,8
BMW,MID-SIZE,4.4,8,Z,17.3,11.5,14.7,19,338,M5,Undefined,AM,7
BMW,MID-SIZE,4.4,8,Z,16.2,10.9,13.8,20,317,M5,Undefined,M,6
BMW,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338,M6,Undefined,AM,7
BMW,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317,M6,Undefined,M,6
BMW,SUBCOMPACT,4.4,8,Z,17.3,11.5,14.7,19,338,M6,Undefined,AM,7
BMW,SUBCOMPACT,4.4,8,Z,16.2,10.9,13.8,20,317,M6,Undefined,M,6
BMW,COMPACT,4.4,8,Z,17.3,11.5,14.7,19,338,M6,Undefined,AM,7
BMW,COMPACT,4.4,8,Z,16.2,10.9,13.8,20,317,M6,Undefined,M,6
BMW,SUV - SMALL,2.0,4,Z,10.6,7.2,9.1,31,209,X1,Undefined,A,8
BMW,SUV - SMALL,3.0,6,Z,13.2,8.9,11.3,25,260,X1,Undefined,A,6
BMW,SUV - SMALL,2.0,4,Z,11.2,8.5,10.0,28,230,X3,Undefined,A,8
BMW,SUV - SMALL,3.0,6,Z,12.6,9.1,11.0,26,253,X3,Undefined,A,8
BMW,SUV - STANDARD,3.0,6,Z,12.9,8.8,11.1,25,255,X5,Undefined,A,8
BMW,SUV - STANDARD,4.4,8,Z,16.3,10.9,13.9,20,320,X5,Undefined,A,8
BMW,SUV - STANDARD,4.4,8,Z,18.1,13.7,16.1,18,370,X6,Undefined,A,6
BMW,SUV - STANDARD,3.0,6,Z,13.6,9.8,11.9,24,274,X6,Undefined,A,8
BMW,SUV - STANDARD,4.4,8,Z,16.4,11.3,14.1,20,324,X6,Undefined,A,8
BMW,TWO-SEATER,2.0,4,Z,10.8,7.1,9.1,31,209,Z4,Undefined,A,8
BMW,TWO-SEATER,2.0,4,Z,10.4,6.7,8.7,32,200,Z4,Undefined,M,6
BMW,TWO-SEATER,3.0,6,Z,13.7,10.1,12.1,23,278,Z4,Undefined,AM,7
BMW,TWO-SEATER,3.0,6,Z,12.7,9.0,11.0,26,253,Z4,Undefined,M,6
BMW,TWO-SEATER,3.0,6,Z,13.7,10.1,12.1,23,278,Z4,Undefined,AM,7
BUICK,SUV - STANDARD,3.6,6,X,14.3,9.9,12.3,23,283,ENCLAVE,Undefined,A,6
BUICK,SUV - STANDARD,3.6,6,X,14.6,10.2,12.6,22,290,ENCLAVE,All-wheel drive,A,6
BUICK,SUV - SMALL,1.4,4,X,9.5,7.2,8.5,33,196,ENCORE,Undefined,AS,6
BUICK,SUV - SMALL,1.4,4,X,10.2,8.0,9.2,31,212,ENCORE,All-wheel drive,AS,6
BUICK,MID-SIZE,3.6,6,X,13.7,8.7,11.5,25,264,LACROSSE,Undefined,AS,6
BUICK,MID-SIZE,3.6,6,E,18.4,12.2,15.6,18,250,LACROSSE,Undefined,AS,6
BUICK,MID-SIZE,3.6,6,X,13.7,8.9,11.5,25,264,LACROSSE,All-wheel drive,AS,6
